transaction_id,timestamp,type,asset,quantity,currency,price_per_unit,total_value,fee,wallet,notes
TXN-U-001,2024-01-15T10:30:00Z,buy,BTC,0.5,USD,42000,21000,15,wallet_A,First BTC purchase
TXN-U-002,2024-01-15T11:00:00Z,sell,ETH,2.0,USD,2500,5000,10,wallet_A,Sell ETH for profit
TXN-U-003,2024-01-16T09:15:00Z,transfer_out,BTC,0.1,USD,,,,wallet_A,Sent to cold storage
TXN-U-004,2024-01-16T14:30:00Z,buy,SOL,10,USD,100,1000,5,wallet_B,Buying SOL
TXN-U-005,2024-01-17T08:00:00Z,sell,BTC,0.25,USD,43000,10750,20,wallet_A,Partial BTC sale
TXN-U-006,2024-01-17T12:00:00Z,buy,ETH,1.5,USD,2600,3900,8,wallet_B,ETH accumulation
TXN-U-007,2024-01-18T10:00:00Z,transfer_out,ETH,0.5,USD,,,,wallet_A,Transfer to exchange
TXN-U-008,2024-01-18T16:00:00Z,buy,DOGE,5000,USD,0.08,400,2,wallet_C,DOGE speculation
TXN-U-009,2024-01-19T09:30:00Z,sell,SOL,5,USD,110,550,3,wallet_B,Partial SOL exit
TXN-U-010,2024-01-19T15:00:00Z,buy,BTC,0.1,USD,44000,4400,10,wallet_A,DCA BTC
TXN-U-011,2024-01-20T08:00:00Z,buy,bitcoin,0.05,USD,44500,2225,5,wallet_A,Note: bitcoin alias test
TXN-U-012,2024-01-20T10:00:00Z,deposit,ethereum,1.0,USD,2700,2700,7,wallet_B,Alias deposit test
TXN-U-013,2024-01-20T12:00:00Z,withdrawal,solana,2.0,USD,115,230,4,wallet_C,Alias withdrawal test
TXN-U-014,2024-01-21T09:00:00Z,buy,ADA,1000,USD,0.5,500,3,wallet_B,Cardano purchase
TXN-U-015,2024-01-21T14:00:00Z,sell,DOGE,2000,USD,0.09,180,2,wallet_C,DOGE partial exit
TXN-U-016,2024-01-22T10:00:00Z,buy,LINK,50,USD,15,750,4,wallet_A,Chainlink buy
TXN-U-017,2024-01-22T14:30:00Z,sell,ADA,500,USD,0.52,260,2,wallet_B,ADA exit
TXN-U-018,2024-01-23T09:00:00Z,transfer_out,BTC,0.2,USD,,,,wallet_A,BTC to hardware wallet
TXN-U-019,2024-01-23T11:00:00Z,buy,XRP,2000,USD,0.6,1200,6,wallet_C,XRP purchase
TXN-U-020,2024-01-24T10:00:00Z,sell,LINK,25,USD,16,400,3,wallet_A,LINK partial exit
TXN-U-021,,buy,BTC,0.1,USD,44000,4400,5,wallet_A,Missing timestamp flag test
TXN-U-022,2024-01-25T10:00:00Z,,BTC,0.05,USD,44000,2200,3,wallet_A,Missing type flag test
TXN-U-023,2024-01-25T11:00:00Z,buy,,0.1,USD,44000,4400,5,wallet_A,Missing asset flag test
TXN-U-024,2024-01-25T12:00:00Z,buy,ETH,,USD,2700,,5,wallet_A,Missing quantity flag test
TXN-U-025,2024-01-25T13:00:00Z,buy,ETH,1.0,USD,2700,5000,5,wallet_A,Inconsistent total_value flag test
TXN-U-001,2024-01-25T14:00:00Z,sell,BTC,0.1,USD,44000,4400,5,wallet_A,Duplicate txId flag test
